En = 72.8 ± 2.0 MeV     Proton cross sections																				
40.5	0.051	0.046	0.007	0.014	0.004	0.004	0.001	0.003	---	---	---	---	---	---	---	---	---	---	---	0.03
43.5	0.053	0.047	0.007	0.015	0.004	0.004	0.001	0.001	---	---	---	---	---	---	---	---	---	---	---	0.03
46.5	0.049	0.043	0.006	0.012	0.003	0.006	0.001	---	---	---	---	---	---	---	---	---	---	---	---	0.03
49.5	0.044	0.039	0.006	0.012	0.003	0.003	0.001	---	---	---	---	---	---	---	---	---	---	---	---	0.02
52.5	0.039	0.033	0.005	0.009	0.002	0.004	---	---	---	---	---	---	---	---	---	---	---	---	---	0.02
55.5	0.062	0.046	0.005	0.008	0.001	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.02
58.5	0.008	0.007	0.003	0.005	---	---	---	---	---	---	---	---	---	---	---	---	---			0.01
ds/dW	5.645	5.228	2.806	4.106	1.261	1.252	1.078	0.544	0.168	0.084	0.047	0.056	0.069	0.012	0.025	0.015	0.017	0.012	0.012	8.5
																				
En = 62.7 ± 2.0 MeV     Proton cross sections																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170*	177.5*	
E (MeV)																				ds/dE
7	0.847	0.837	0.973	0.757	0.598	0.849	0.522	0.504	0.422	0.378	0.258	0.269	0.190	0.212	0.253	0.258	0.165	0.159	0.157	5.31
